book_id	title	authors	average_rating	ratings_count	text_review	num_pages	publication	publisher	genre
352	The Notebooks of Lazarus Long	Robert A. Heinlein	4.07	3605	40	56	August 3rd 2004	Baen	Science Fiction
353	Time Enough for Love	Robert A. Heinlein	3.97	32710	845	589	August 15th 1988	Ace	Science Fiction
354	To Sail Beyond the Sunset	Robert A. Heinlein	3.87	10685	221	434	June 1st 1988	Ace Books	Science Fiction
355	Job: A Comedy of Justice	Robert A. Heinlein	3.78	16842	510	439	October 12th 1985	Del Rey	Science Fiction
357	The Long Dark Tea-Time of the Soul	Douglas Adams	4.04	81380	1907	307	February 15th 1991	Pocket Books	Fiction
359	The Salmon of Doubt	Douglas Adams	3.93	26372	1008	298	April 26th 2005	Del Rey	Science Fiction
362	Wish You Were Here: The Official Biography of Douglas Adams	Nick  Webb	4.14	2823	68	368	December 27th 2005	Del Rey	Biography
365	Dirk Gently's Holistic Detective Agency	Douglas Adams	3.97	124420	3527	306	January 1st 2002	Pocket Books	Science Fiction
378	The Phantom Tollbooth	Norton Juster	4.18	251178	10550	256	1996	Random House Bullseye Books	Fantasy
385	On Bullshit	Harry G. Frankfurt	3.58	11010	1185	74	January 30th 2005	Princeton University Press	Philosophy
386	Another Bullshit Night in Suck City	Nick Flynn	3.79	10344	975	347	September 12th 2005	W. W. Norton & Company	Autobiography
400	Libra	Don DeLillo	3.99	14333	867	480	May 1st 1991	Penguin	Fiction
402	Mao II	Don DeLillo	3.68	10016	593	254	1992	Penguin Books	Fiction
408	The Names	Don DeLillo	3.64	3770	287	339	July 17th 1989	Vintage	Fiction
409	Against the Day	Thomas Pynchon	3.97	8150	817	1085	November 21st 2006	Penguin Press	Fiction
413	Mason & Dixon	Thomas Pynchon	4.08	9443	812	773	January 3rd 2004	Picador USA	Fiction
415	Gravity's Rainbow	Thomas Pynchon	3.96	39751	3260	776	October 31st 2006	Penguin Books	Fiction
418	Been Down So Long It Looks Like Up To Me	Richard Fariña	3.8	2901	272	352	August 29th 1996	Penguin Classics	Fiction
421	The White Album	Joan Didion	4.15	17596	1273	222	October 1st 1990	Farrar Straus Giroux	Writing
424	Slouching Towards Bethlehem	Joan Didion	4.19	38499	2890	238	October 1st 1990	Farrar Straus Giroux	Nonfiction
428	Play It As It Lays	Joan Didion	3.88	29845	2273	231	November 15th 2005	Farrar, Straus and Giroux	Fiction
431	The New York Trilogy	Paul Auster	3.87	63819	3383	308	March 28th 2006	Penguin Classics	Fiction
432	City of Glass	Paul Auster	3.79	15470	996	203	April 7th 1987	Penguin Books	Fiction
435	The Locked Room	Paul Auster	3.89	4052	238	179	November 1st 1986	Sun and Moon Press	Fiction
446	The Brooklyn Follies	Paul Auster	3.85	23572	1695	306	October 17th 2006	Picador	Fiction
447	Moon Palace	Paul Auster	3.95	21180	961	320	April 1st 1990	Penguin Books	Fiction
449	Timbuktu	Paul Auster	3.69	12556	1033	181	May 2000	Picador	Fiction
454	Travels in the Scriptorium	Paul Auster	3.24	9203	918	145	January 23rd 2007	Henry Holt & Company	Fiction
456	Leviathan	Paul Auster	3.96	15428	737	275	September 1st 1993	Penguin Books	Fiction
463	The Red Notebook: True Stories	Paul Auster	3.78	4045	297	104	June 17th 2002	New Directions	Nonfiction
475	Collapse: How Societies Choose to Fail or Succeed	Jared Diamond	3.92	63308	3364	608	December 27th 2005	Penguin Books Ltd. (London)	History
477	Collapse of Complex Societies	Joseph A. Tainter	4.16	906	109	262	March 29th 1990	Cambridge University Press	History
493	My Inventions	Nikola Tesla	3.85	7987	532	88	May 17th 2006	Filiquarian Publishing, LLC.	Biography
509	The Invention of Love	Tom Stoppard	4.02	1778	109	112	August 10th 1998	Grove Press	Plays
597	Killing Yourself to Live: 85% of a True Story	Chuck Klosterman	3.81	27663	1231	245	June 13th 2006	Scribner	Nonfiction
599	Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto	Chuck Klosterman	3.73	67879	3525	272	July 2nd 2004	Scribner	Nonfiction
629	Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values	Robert M. Pirsig	3.77	205535	8781	540	April 25th 2006	HarperTorch	Philosophy
647	No Logo	Naomi Klein	3.88	28015	1021	528	April 6th 2002	Picador	Nonfiction
654	Great Short Works of Leo Tolstoy	Leo Tolstoy	4.31	2458	86	720	March 2nd 2004	Harper Perennial Modern Classics	Fiction
655	The Death of Ivan Ilych and Other Stories	Leo Tolstoy	4.11	11852	699	304	April 1st 2003	Signet Classics	Fiction
656	War and Peace	Leo Tolstoy	4.12	270331	11935	1392	June 25th 1998	Oxford University Press	Classics
658	The Kingdom of God Is Within You	Leo Tolstoy	4.11	3630	333	352	September 8th 2006	Dover Publications	Philosophy
662	Atlas Shrugged	Ayn Rand	3.69	357964	17583	1168	August 1st 1999	Plume	Classics
665	The Virtue of Selfishness: A New Concept of Egoism	Ayn Rand	3.51	12715	592	176	November 1st 1964	Signet	Philosophy
667	Anthem	Ayn Rand	3.63	133302	9300	105	December 1st 1999	NAL	Fiction
668	We the Living	Ayn Rand	3.92	26321	1379	464	January 1st 1996	Signet	Fiction
669	Capitalism: The Unknown Ideal	Ayn Rand	3.89	3865	187	340	July 15th 1986	Signet	Philosophy
676	Sailing Alone Around the Room: New and Selected Poems	Billy Collins	4.23	12901	695	172	September 17th 2002	Random House Trade Paperbacks	Poetry
682	More Natural Cures Revealed	Kevin Trudeau	3.4	394	53	358	May 9th 2006	Vanguard Press	Health
685	The Natural	Bernard Malamud	3.63	10167	833	231	July 7th 2003	Farrar Straus Giroux	Fiction
698	Digging to America	Anne Tyler	3.56	20217	2264	277	May 2nd 2006	Alfred A. Knopf	Fiction
703	The Plot Against America	Philip Roth	3.77	51667	4239	391	September 27th 2005	Vintage International	Fiction
706	America (The Book): A Citizen's Guide to Democracy Inaction	Jon   Stewart	4.01	91294	1424	228	2004	Allen Lane	Humor
760	Memories of My Melancholy Whores	Gabriel García Márquez	3.6	70167	4302	115	November 2006	Vintage International	Fiction
771	The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory	Brian Greene	4.07	88127	2071	425	September 2nd 2004	Vintage Books USA	Science
816	Cryptonomicon	Neal Stephenson	4.24	100283	5364	1139	November 5th 2002	Avon	Fiction
822	The Confusion	Neal Stephenson	4.26	22336	720	815	June 14th 2005	William Morrow Paperbacks	Fiction
823	Quicksilver	Neal Stephenson	3.89	38327	2120	927	September 21st 2004	HarperCollins Perennial	Fiction
827	The Diamond Age: Or, a Young Lady's Illustrated Primer	Neal Stephenson	4.16	85249	3485	499	May 2nd 2000	Spectra	Science Fiction
835	Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume I: Strategic Play	Dan Harrington	4.24	2201	80	381	December 1st 2004	Two Plus Two Publishing LLC	Nonfiction
840	The Design of Everyday Things	Donald A. Norman	4.16	30466	2186	240	September 19th 2002	Basic Books	Design
865	The Alchemist	Paulo Coelho	3.88	2173662	82704	197	May 1st 1993	HarperCollins	Fiction
868	Fullmetal Alchemist, Vol. 3	Hiromu Arakawa	4.56	18798	372	192	September 13th 2005	VIZ Media LLC	Sequential Art
870	Fullmetal Alchemist, Vol. 1	Hiromu Arakawa	4.5	123682	1714	192	May 3rd 2005	VIZ Media LLC	Sequential Art
871	Fullmetal Alchemist, Vol. 4	Hiromu Arakawa	4.55	12174	376	192	November 15th 2005	VIZ Media LLC	Sequential Art
873	Fullmetal Alchemist, Vol. 2	Hiromu Arakawa	4.52	16734	534	192	July 5th 2005	VIZ Media LLC	Sequential Art
880	Pompeii	Robert   Harris	3.82	36525	2492	274	November 8th 2005	Random House Trade Paperbacks	Historical
890	Of Mice and Men	John Steinbeck	3.88	1984523	35155	103	January 8th 2002	Penguin Books	Classics
900	The Game: Penetrating the Secret Society of Pickup Artists	Neil Strauss	3.74	26271	1930	464	September 6th 2005	It Books	Nonfiction
902	The Westing Game	Ellen Raskin	4.01	171103	10863	182	April 12th 2004	Puffin	Mystery
903	The Egypt Game	Zilpha Keatley Snyder	3.81	34221	1492	215	July 7th 2009	Turtleback Books	Fiction
905	The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance	W. Timothy Gallwey	4.23	10537	892	134	May 27th 1997	Random House Trade Paperbacks	Nonfiction
925	A Clean Kill in Tokyo	Barry Eisler	3.96	18174	913	363	July 1st 2002	Barry Eisler	Thriller
929	Memoirs of a Geisha	Arthur Golden	4.12	1744115	30439	503	November 22nd 2005	Vintage Books USA	Fiction
960	Angels & Demons	Dan Brown	3.91	2730066	29446	736	April 1st 2006	Pocket Books	Fiction
968	The Da Vinci Code	Dan Brown	3.86	1973233	47648	489	March 28th 2006	Anchor	Fiction
976	Deception Point	Dan Brown	3.72	601724	9602	556	December 2002	Pocket Books	Fiction
998	The Millionaire Next Door: The Surprising Secrets of America's Wealthy	Thomas J. Stanley	4.04	79273	3495	258	October 1st 1998	Gallery Books	Economics
1031	Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life	Donald J. Trump	3.65	1874	127	288	September 27th 2005	Ballantine Books	Business
1032	Trump: The Art of the Deal	Donald J. Trump	3.66	16936	1301	384	December 28th 2004	Ballantine Books	Business
1035	Trump: How to Get Rich	Donald J. Trump	3.36	2443	197	320	December 28th 2004	Ballantine Books	Business
1052	The Richest Man in Babylon	George S. Clason	4.27	116811	6326	194	February 1st 2008	Berkley Books	Economics
1059	Shibumi	Trevanian	4.21	14085	930	480	May 10th 2005	Broadway Books	Fiction
1067	1776	David McCullough	4.07	192467	7368	386	July 4th 2006	Simon  Schuster	History
1078	The Good Earth	Pearl S. Buck	3.99	225523	10019	418	March 4th 2009	Howard Publishing Co	Classics
1097	Fast Food Nation: The Dark Side of the All-American Meal	Eric Schlosser	3.74	200157	5434	399	July 5th 2005	Harper Perennial	Nonfiction
1110	The Broker	John Grisham	3.79	84623	2951	422	September 26th 2006	Delta	Fiction
1111	The Power Broker: Robert Moses and the Fall of New York	Robert A. Caro	4.39	15346	1547	1246	July 12th 1975	Vintage Books	History
1171	Liar's Poker	Michael   Lewis	4.15	83430	2302	256	October 1st 1990	Penguin Books	Nonfiction
1202	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	Steven D. Levitt	3.98	725475	16505	320	October 17th 2006	William Morrow	Nonfiction
1232	The Shadow of the Wind	Carlos Ruiz Zafón	4.27	478830	36811	487	2005	Penguin Books	Fiction
1241	A Million Little Pieces	James Frey	3.65	227391	11779	515	September 22nd 2005	Anchor Books	Fiction
1274	Men Are from Mars, Women Are from Venus	John Gray	3.56	167900	5984	368	April 3rd 2012	Harper Paperbacks	Nonfiction
1300	The Bad Guys Won!	Jeff Pearlman	4.04	3959	241	304	April 26th 2005	Harper Perennial	Sports
1301	Moneyball: The Art of Winning an Unfair Game	Michael   Lewis	4.25	104583	5065	317	March 17th 2004	W. W. Norton  Company	Nonfiction
1303	The 48 Laws of Power	Robert Greene	4.15	83406	4277	452	September 1st 2000	Penguin (Business)	Nonfiction
1305	Gates of Fire	Steven Pressfield	4.4	30011	2157	392	September 27th 2005	Bantam	Historical
1307	Fire Sea	Margaret Weis	4.07	17899	233	414	March 1st 1992	Spectra Books	Fantasy
1316	The Virtues of War: A Novel of Alexander the Great	Steven Pressfield	3.98	5068	284	368	September 27th 2005	Bantam	Historical
1317	Tides of War	Steven Pressfield	3.9	4166	207	448	August 28th 2001	Bantam	Historical
1318	Last of the Amazons	Steven Pressfield	3.76	2713	186	400	July 1st 2003	Bantam	Historical
1319	The War of Art: Break Through the Blocks & Win Your Inner Creative Battles	Steven Pressfield	4.0	75651	6089	168	April 1st 2003	Warner Books	Nonfiction
1354	Gorgias	Plato	3.96	10084	352	208	January 29th 2004	Penguin Classics	Philosophy
1362	The Histories	Herodotus	3.98	42925	1249	716	January 30th 2003	Penguin Books	History
1371	The Iliad	Homer	3.87	359676	7473	683	April 29th 1999	Penguin Classics	Classics
1375	The Iliad/The Odyssey	Homer	4.05	64013	782	1556	November 1st 1999	Penguin Classics	Classics
1381	The Odyssey	Homer	3.77	877086	12617	541	November 30th 2006	Penguin Classics	Classics
1414	The Riverside Shakespeare	William Shakespeare	4.55	4265	201	2057	1997	Houghton Mifflin Co.	Classics
1420	Hamlet	William Shakespeare	4.03	745756	13148	289	August 1st 2005	Cambridge University Press	Classics
1423	The Compleat Works of Wllm Shkspr (abridged)	Reduced Shakespeare Company	4.45	8510	130	137	February 1st 1994	Applause Books	Plays
1426	Warrior of the Light	Paulo Coelho	3.69	31603	1573	142	March 30th 2004	HarperOne	Fiction
1427	The Zahir	Paulo Coelho	3.58	69946	3361	336	July 3rd 2006	HarperOne	Fiction
1428	By the River Piedra I Sat Down and Wept	Paulo Coelho	3.57	88655	3834	208	May 23rd 2006	HarperOne	Fiction
1429	The Fifth Mountain	Paulo Coelho	3.62	39088	1586	256	April 26th 2000	HarperOne	Fiction
1430	Eleven Minutes	Paulo Coelho	3.7	151202	6908	273	2003	HarperOne	Fiction
1431	Veronika Decides to Die	Paulo Coelho	3.71	178814	8244	210	June 1st 2006	Harper Perennial	Fiction
1467	Ten Plays	Euripides	4.17	1827	60	432	August 1st 1990	Bantam Classics	Classics
1473	Medea and Other Plays	Euripides	4.04	14451	243	206	March 27th 2003	Penguin Books	Classics
1496	Iphigenia in Aulis	Euripides	4.03	3684	116	69	September 25th 1997	Ivan R. Dee Publisher	Plays
1519	The Oresteia: Agamemnon, The Libation Bearers, The Eumenides	Aeschylus	4.02	35267	1127	335	February 7th 1984	Penguin Classics	Classics
1523	Prometheus Bound and Other Plays	Aeschylus	4.1	5613	178	160	August 28th 2003	Penguin Books	Classics
1538	The Complete Plays	Sophocles	4.27	4156	136	420	March 1st 2001	New American Library	Classics
1540	The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone	Sophocles	3.98	58422	1730	259	November 1st 2002	Mariner Books	Classics
1554	Oedipus Rex	Sophocles	3.71	173803	3449	75	June 22nd 2006	Prestwick House - (Literary Touchstone Classic)	Classics
1562	The Complete Plays	Aristophanes	4.21	2324	73	577	March 1st 1984	Bantam Classics	Classics
1567	Lysistrata and Other Plays	Aristophanes	3.96	4048	135	241	January 30th 2003	Penguin Classics	Classics
1591	Lysistrata	Aristophanes	3.86	35579	981	132	March 1st 2003	Hackett Publishing Company, Inc.	Plays
1617	Night	Elie Wiesel	4.34	992836	29677	115	January 16th 2006	Hill & Wang	Nonfiction
1618	The Curious Incident of the Dog in the Night-Time	Mark Haddon	3.89	1218860	44735	226	May 18th 2004	Vintage	Fiction
1622	A Midsummer Night's Dream	William Shakespeare	3.95	449393	8272	240	July 2016	Simon & Schuster Paperbacks	Classics
1624	West with the Night	Beryl Markham	4.14	31863	3129	294	January 1st 1983	North Point Press	Nonfiction
1625	Twelfth Night	William Shakespeare	3.98	157258	3834	272	July 1st 2004	Simon Schuster	Classics
1627	Brokeback Mountain	Annie Proulx	3.95	30831	2493	55	December 2nd 2005	Scribner	Fiction
1633	Getting Things Done: The Art of Stress-Free Productivity	David    Allen	3.99	132539	5216	267	December 31st 2002	Penguin Group	Nonfiction
1663	Adjusting Sights	Haim Sabato	4.09	140	17	154	October 1st 2006	Toby Press	Cultural
1677	Sobre héroes y tumbas	Ernesto Sabato	4.27	9194	423	547	October 28th 1999	Sudamericana	Fiction
1715	Metamorphoses	Ovid	4.06	58950	1646	723	August 3rd 2004	Penguin	Classics
1814	2012: The Return of Quetzalcoatl	Daniel Pinchbeck	3.42	1709	282	408	May 4th 2006	Tarcher	Nonfiction
1815	Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism	Daniel Pinchbeck	4.06	3125	182	336	August 12th 2003	Crown Publishing Group (NY)	Nonfiction
1842	Guns, Germs, and Steel: The Fates of Human Societies	Jared Diamond	4.03	312863	11287	425	2005	W.W. Norton & Company	History
1845	Into the Wild	Jon Krakauer	3.99	898798	22063	207	January 20th 1997	Anchor Books	Nonfiction
1846	Wild at Heart: Discovering the Secret of a Man's Soul	John Eldredge	3.92	69244	2105	256	April 1st 2001	Thomas Nelson	Christian
1848	Wild Swans: Three Daughters of China	Jung Chang	4.25	94357	5808	562	August 12th 2003	Simon  Schuster	Nonfiction
1849	Wild Fire	Nelson DeMille	4.02	24313	1148	519	November 6th 2006	Warner Books (NY)	Fiction
1852	The Call of the Wild	Jack London	3.88	349841	11377	172	January 1st 2001	Scholastic	Classics
1869	Nickel and Dimed: On (Not) Getting by in America	Barbara Ehrenreich	3.63	180453	6531	240	May 1st 2002	Owl Books (Henry Holt)	Nonfiction
1875	The History of Sexuality, Volume 1: An Introduction	Michel Foucault	4.04	18529	810	176	1990	Vintage	Philosophy
1876	The History of Sexuality, Volume 3: The Care of the Self	Michel Foucault	4.05	2194	70	288	1988	Vintage	Philosophy
1878	The History of Sexuality, Volume 2: The Use of Pleasure	Michel Foucault	4.07	3487	110	304	1990	Vintage	Philosophy
1885	Pride and Prejudice	Jane Austen	4.27	3086408	69391	279	October 10th 2000	Modern Library	Classics
1898	Into Thin Air: A Personal Account of the Mount Everest Disaster	Jon Krakauer	4.19	404914	13970	368	October 19th 1999	Anchor Books	Nonfiction
1911	The World Is Flat: A Brief History of the Twenty-first Century	Thomas L. Friedman	3.68	98692	3593	593	April 18th 2006	Farrar, Straus and Giroux (NY)	Nonfiction
1934	Little Women	Louisa May Alcott	4.09	1715221	31119	449	April 6th 2004	Signet Classics	Classics
1946	Little Women, Little Men, Jo's Boys	Louisa May Alcott	4.34	6061	282	1064	February 17th 2005	Library of America	Classics
1953	A Tale of Two Cities	Charles Dickens	3.85	821680	17834	489	2003	Penguin Books	Classics
1976	Den of Thieves	Julia Golding	4.21	1699	86	416	January 31st 2007	Egmont Books Ltd	Historical
1978	The Voice of Reason: Essays in Objectivist Thought	Ayn Rand	4.11	789	34	368	June 30th 1990	NAL	Philosophy
1981	The Art of Fiction: A Guide for Writers and Readers	Ayn Rand	4.01	782	88	192	January 1st 2000	New American Library	Language
1990	Martin Chuzzlewit	Charles Dickens	3.83	14851	645	830	November 25th 1999	Penguin Classics	Classics
2002	Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry	J.K. Rowling	4.39	12830	187	240	November 1st 2001	Arthur A. Levine	Fantasy
2011	The Dosadi Experiment	Frank Herbert	3.82	6914	206	320	September 16th 2002	Tor Books	Science Fiction
2013	The Jesus Incident	Frank Herbert	3.72	5020	157	432	October 15th 1987	Ace	Science Fiction
2017	Solomon's Gold	Neal Stephenson	4.33	972	35	448	October 2006	HarperTorch	Historical
2028	Assembly of Women (Literary Classics)	Aristophanes	3.75	913	56	124	April 1st 1997	Prometheus Books	Plays
2049	The High Window	Raymond Chandler	4.07	18596	844	265	August 12th 1992	Vintage Crime/Black Lizard	Mystery
2050	Farewell, My Lovely	Raymond Chandler	4.13	32694	1747	292	August 1992	Vintage Crime/Black Lizard	Mystery
2052	The Big Sleep	Raymond Chandler	3.98	130531	5838	231	July 12th 1988	Vintage Crime	Mystery
2054	The Long Goodbye	Raymond Chandler	4.2	34724	2160	379	August 12th 1988	Vintage Crime/Black Lizard	Mystery
2067	Breaking the Spell: Religion as a Natural Phenomenon	Daniel C. Dennett	3.89	11664	467	448	February 24th 2006	Viking Books	Philosophy
2068	Darwin's Dangerous Idea: Evolution and the Meanings of Life	Daniel C. Dennett	4.05	14770	279	588	June 12th 1996	Simon  Schuster	Science
2081	The Mind’s I: Fantasies and Reflections on Self and Soul	Douglas R. Hofstadter	4.14	5476	119	512	April 1st 1985	Bantam Books	Philosophy
2094	A Briefer History of Time	Stephen Hawking	4.23	31282	1328	176	September 27th 2005	Bantam	Science
2095	The Universe in a Nutshell	Stephen Hawking	4.17	35524	1007	216	November 6th 2001	Bantam	Science
2096	God Created the Integers: The Mathematical Breakthroughs That Changed History	Stephen Hawking	4.07	1880	67	1160	October 4th 2005	Running Press Book Publishers	Science
2103	The Nature of Space and Time	Stephen Hawking	4.1	1200	56	152	October 8th 2000	Princeton University Press	Science
2104	The Physics of Star Trek	Lawrence M. Krauss	3.84	5715	275	188	August 16th 1996	ReganBooks	Science
2115	Atlas Shrugged & The Fountainhead	Ayn Rand	4.1	4563	215	0	September 1st 1997	New American Library	Fiction
2122	The Fountainhead	Ayn Rand	3.87	300048	12284	704	September 1st 1996	Signet Book	Fiction
2136	Specimen Days	Michael Cunningham	3.58	5545	587	336	April 18th 2006	Picador USA	Fiction
2137	A Home at the End of the World	Michael Cunningham	3.92	18099	966	342	July 1st 2004	Picador	Fiction
2139	Flesh and Blood	Michael Cunningham	4.02	5257	396	465	May 22nd 1996	Touchstone	Fiction
2141	In the Blink of an Eye: A Perspective on Film Editing	Walter Murch	4.24	5277	323	148	August 1st 2001	Silman-James Press	Culture
2142	Blink	Ted Dekker	4.17	16034	819	400	October 11th 2004	Thomas Nelson	Christian Fiction
2152	The Jane Austen Book Club	Karen Joy Fowler	3.12	68064	4524	288	April 26th 2005	G.P. Putnam's Sons	Fiction
2156	Persuasion	Jane Austen	4.14	535230	18922	249	March 18th 2004	Oxford University Press	Classics
2159	Confessions of an Economic Hit Man	John Perkins	3.86	32849	3493	303	December 27th 2005	Plume	Nonfiction
2165	The Old Man and the Sea	Ernest Hemingway	3.79	854958	25960	96	1996	Scribner	Classics
2175	Madame Bovary	Gustave Flaubert	3.68	260788	10907	329	2004	Oxford University Press	Classics
2176	Flaubert's Parrot	Julian Barnes	3.66	12687	1056	190	November 27th 1990	Vintage	Fiction
